userId,age,gender,occupation
1,25,M,engineer
2,32,F,doctor
3,19,M,student
4,45,F,teacher
5,28,M,artist
6,36,F,lawyer
7,22,M,student
8,41,F,engineer
9,29,M,writer
10,33,F,designer
11,26,M,developer
12,38,F,manager
13,21,M,student
14,47,F,professor
15,30,M,analyst
16,35,F,scientist
17,24,M,student
18,42,F,architect
19,27,M,musician
20,39,F,consultant
21,23,M,student
22,44,F,director
23,31,M,researcher
24,37,F,engineer
25,20,M,student
26,48,F,manager
27,34,M,designer
28,43,F,writer
29,26,M,developer
30,40,F,analyst
31,29,F,marketing
32,22,M,student
33,36,M,consultant
34,41,F,doctor
35,27,M,engineer
36,33,F,teacher
37,19,F,student
38,45,M,manager
39,30,F,designer
40,26,M,analyst
41,28,F,programmer
42,23,M,student
43,35,F,nurse
44,39,M,scientist
45,21,F,student
46,47,M,lawyer
47,32,F,marketing
48,25,M,developer
49,40,F,teacher
50,29,M,artist
51,34,F,consultant
52,27,M,engineer
53,22,F,student
54,38,M,manager
55,31,F,writer
56,26,M,developer
57,43,F,analyst
58,20,M,student
59,36,F,doctor
60,28,M,designer
61,45,F,professor
62,24,M,student
63,39,F,architect
64,30,M,researcher
65,27,F,marketing
66,33,M,engineer
67,21,F,student
68,41,M,consultant
69,29,F,scientist
70,35,M,nurse
71,22,F,student
72,46,M,manager
73,28,F,programmer
74,37,M,developer
75,25,F,teacher
76,40,M,analyst
77,31,F,designer
78,26,M,student
79,34,F,writer
80,23,M,student
81,42,F,doctor
82,29,M,engineer
83,38,F,marketing
84,27,M,developer
85,35,F,consultant
86,21,M,student
87,44,F,professor
88,30,M,scientist
89,28,F,nurse
90,39,M,manager
91,25,F,student
92,36,M,designer
93,22,F,student
94,41,M,analyst
95,33,F,teacher
96,27,M,programmer
97,45,F,consultant
98,29,M,engineer
99,34,F,writer
100,26,M,student
101,31,M,engineer
102,28,F,designer
103,35,M,manager
104,24,F,student
105,42,M,doctor
106,29,F,teacher
107,37,M,developer
108,26,F,analyst
109,33,M,researcher
110,30,F,writer
111,39,M,consultant
112,27,F,marketing
113,44,M,professor
114,25,F,student
115,38,M,engineer
116,31,F,designer
117,36,M,manager
118,23,F,student
119,41,M,doctor
120,28,F,teacher
121,34,M,developer
122,29,F,analyst
123,40,M,researcher
124,26,F,writer
125,35,M,consultant
126,32,F,marketing
127,45,M,professor
128,24,F,student
129,37,M,engineer
130,30,F,designer
131,33,M,manager
132,22,F,student
133,43,M,doctor
134,27,F,teacher
135,39,M,developer
136,31,F,analyst
137,42,M,researcher
138,25,F,writer
139,36,M,consultant
140,29,F,marketing
141,46,M,professor
142,26,F,student
143,38,M,engineer
144,32,F,designer
145,35,M,manager
146,21,F,student
147,44,M,doctor
148,28,F,teacher
149,40,M,developer
150,33,F,analyst
151,41,M,researcher
152,27,F,writer
153,37,M,consultant
154,30,F,marketing
155,47,M,professor
156,25,F,student
157,39,M,engineer
158,34,F,designer
159,36,M,manager
160,23,F,student
161,45,M,doctor
162,29,F,teacher
163,42,M,developer
164,35,F,analyst
165,43,M,researcher
166,26,F,writer
167,38,M,consultant
168,31,F,marketing
169,48,M,professor
170,24,F,student
171,40,M,engineer
172,33,F,designer
173,37,M,manager
174,22,F,student
175,46,M,doctor
176,30,F,teacher
177,44,M,developer
178,36,F,analyst
179,45,M,researcher
180,28,F,writer
181,39,M,consultant
182,32,F,marketing
183,49,M,professor
184,27,F,student
185,41,M,engineer
186,34,F,designer
187,38,M,manager
188,25,F,student
189,47,M,doctor
190,31,F,teacher
191,46,M,developer
192,37,F,analyst
193,48,M,researcher
194,29,F,writer
195,40,M,consultant
196,33,F,marketing
197,50,M,professor
198,26,F,student
199,42,M,engineer
200,35,F,designer
201,39,M,manager
202,24,F,student
203,48,M,doctor
204,32,F,teacher
205,47,M,developer
206,38,F,analyst
207,49,M,researcher
208,30,F,writer
209,41,M,consultant
210,34,F,marketing
211,50,M,professor
212,28,F,student
213,43,M,engineer
214,36,F,designer
215,40,M,manager
216,26,F,student
217,49,M,doctor
218,33,F,teacher
219,48,M,developer
220,39,F,analyst
221,50,M,researcher
222,31,F,writer
223,42,M,consultant
224,35,F,marketing
225,50,M,professor
226,29,F,student
227,44,M,engineer
228,37,F,designer
